Challenge_Hex,Response_Bit
1C80317FA3B1799D,0
BDD640FB06671AD1,1
3EB13B9046685257,0
23B8C1E9392456DE,0
1A3D1FA7BC8960A9,1
BD9C66B3AD3C2D6D,0
8B9D2434E465E150,0
972A846916419F82,1
0822E8F36C031199,0
17FC695A07A0CA6E,0
3B8FAA1837F8A88B,0
9A1DE644815EF6D1,1
8FADC1A606CB0FB3,0
B74D0FB132E70629,0
B38A088CA65ED389,0
6B65A6A48B8148F6,1
72FF5D2A386ECBE0,1
4737819096DA1DAC,1
DE8A774BCF36D58B,1
C241330B01A9E71F,1
28DF6EC4CE4A2BBD,1
6C307511B2B9437A,0
47229389571AA876,1
371ECD7B27CD8130,1
C37459EEF50BEA63,1
1A2A73ED562B0F79,0
6142EA7D17BE3111,1
5BE6128E18C26797,1
580D7B71D8F56413,0
43B7A3A69A8DCA03,1
0B1F9163CE9FF57F,0
759CDE66BACFB3D0,0
1FF49B7889463E85,0
EC1B8CA1F91E1D4C,0
142C3FE860E7A113,0
4B0DBB418D5288F1,0
A0EE89AED453DD32,1
E2ACF72F9E574F7A,1
5C941CF0DC98D2C1,0
3139D32C93CD59BF,0
11CE5DD2B45ED1F0,1
A9488D990BBB2599,0
C5E7CE8A3A578A8E,0
FC377A4C4A15544D,1
DAF61A26146D3F31,1
DDD1DFB23B982EF8,1
614FF3D719DB3AD0,0
7412B29347294739,1
D58842DEA2BC372F,0
29A3B2E95D65A441,1
5AF305535EC42E08,0
AB9099A435A240AE,1
B3AA7EFE4458A885,1
AEFCFAD8EFC89849,0
12476F57A5E5A5AB,1
A28DEFE39BF00273,1
88BD64072BCFBE01,1
3EABEDCBBAA80DD4,0
7656AF7229D4BEEF,0
451B4CF36123FDF7,0
ECE66FA2FD5166E6,1
B02B61C4A3D70628,0
3838B3268E944239,0
5304317FAF42E12F,0
C4B032CCD7C524A5,1
0E51F30DC6A7EE39,1
D261A7AB3AA2E4F9,1
CE177B4E0837B8A3,1
66B2BC5B50C187FC,0
10F1BC81448AAA9E,0
E9C349E03602F8AC,0
9132B63EF16287E4,0
B7C93ACFE059A0EE,1
366EB16F508EBAD7,1
7FCD9EB1A7CAD415,1
E27A984D654821D0,0
A491F0B2EA1FCA65,0
24933B83757750A9,1
23BED01D43CF2FDE,0
BEB799193F22FAF8,0
89FA6A688FB5D27B,0
BF3C4C06434308BC,0
6DADD6C795A76D79,1
956269F0E5D7B875,0
5CABCC97663F1C97,0
FF50BDE4382567B8,0
2369B584FF5E9FF0,0
7E570DDF827050A8,1
C17AF08A1745D6D8,1
DC713D960C0FD195,0
27209BDF1C11F735,1
28F49481A0A04DC4,1
AE340454CAC5B68C,0
98AE43346C12ACE8,0
62801C4510435A10,0
988C24C961B1CD22,0
77D21E02FF01CF99,1
405CACEC877409A9,1
8DA0365BF89897B9,0
F143262FDC5C0EED,0
AE270DA702F06B90,0
1D53434BB88139B9,0
E2817EFDAE849217,1
C03987108976E334,1
C4C2E2E3444EA7C8,0
5715BD6FA4161293,1
4B22D3081C8EAEE9,1
287D06CA6F4CC69A,1
00D4AF5974273CA3,0
B8DB0672F42D47CC,1
B83CFE0BE037E5ED,1
F8CDA88B436D76E2,0
C30FF46E8026695F,1
81F76D1C2DBC2134,1
1B3DBD5CE9A1FA6F,1
A013AC6EDEDA4E16,0
D777A4774C66E0A8,1
81F631D4A39231A7,1
32EBD6899BE578C7,1
5FB8D16C2720797D,0
295B4715C333E861,0
F4188F3F8A14BE62,0
EC24A3C5C754108F,0
EB2263DD87C5421E,0
99546EB400257AD1,1
7D15438552FBE43B,1
1CA35CFB04FC6D82,0
5CEC4EB5EDD96831,1
FC3E058BE0F3EAB0,1
CE88CB2DD4E80839,0
3D4CBF374EB93EFF,0
3DA9C2A90ED42F1A,1
913E4DE2E0C53CB8,1
14296C07F26B4776,0
BB5E4BCF15ED6269,0
D0E6E6607C69DEE1,0
FA5D310011B7E948,1
885F6E66C2B6D2C5,1
2031D750C40DB9B4,1
A8E56E0C20DE435D,1
F264ACCC79AC1B1E,0
2A45C2AB8CBFEDB0,0
8715A10343DAC043,1
9B49BD26DF57C59A,1
F6E07CC06C52C49F,1
EDCD465E36386821,0
C1590F538A0F4EFB,1
B09B2A5CBADCC32A,0
B683D2E6337EA2DF,0
66245BFA4FCCA39A,0
ABF3AD39FEC21BBE,1
5F987C71A65E688E,1
E64D1BCB702753A1,0
7394988F847FD9B4,1
3F76BE1D1EFA2197,0
1064005C3985C3CF,1
05628059568CC69B,1
8DCDCD03969B6662,1
96A402F23AE8CC93,0
01D7425638602AB6,0
B535106E122C9A56,0
0F1259E0A18FF6B6,0
114125C63A9BEDD4,0
080AADFBE7C99B26,0
5496F63CDC1110C1,1
839FBC501223B513,1
474A493B3CEDDF2D,1
7C441FE7AB4220A7,0
8A0B3C3336D8393A,0
B92DA22B21DF306F,1
E1E3DB63EF7DDC76,0
93829B43922FE15A,0
3E3511287900F7F9,1
7914C120C8DCD19F,1
683514F2CEB81F9D,1
1825BC5430BEB45F,1
A8B317FA18D0752B,1
5AB33EDF6E595ED3,0
693DFFBC6C6FA611,1
DD2467AC778EEDB3,1
0DDE29A6BAA4B71A,0
A748DBCFAC619E63,1
A56C0941FBF24050,1
0F844FEF1931E9EE,1
BA6C34AB6712303A,1
CCF3A17156DC8907,1
1BF90E27DC96925E,1
310C0C003FA7F104,0
894A05E430B187EF,1
23E2FCB472D8567D,0
2EF912766C006F61,1
766ECB15474EBC19,1
DFDE4FBF3FF350BF,1
134C6C92EC5B227C,1
CEDA8BBB71710434,0
DB20A56EDC815FE7,1
19108BE58CE21EA3,0
A6F2F7B80CF35B58,1
8A63F881FFD0F9D5,1
03C72BA8D605E770,0
17E011B7F8102383,0
C0E9AB30ED2662E9,0
3C835DC0D9441FA5,1
680AC07A2A935D62,1
7B3A4E3E7C52FA17,0
DD59BA7136B82481,1
E7067EF466AA9385,1
2A25A8880F02BAD0,0
008D4127610461E3,1
63F2AE24FC3D3348,1
ED3049CF43E458FC,0
C8FE3CCDC8B8D9C6,1
490617F2747B6DBA,1
B253D2186C4A37EA,1
BB026576F512C4C3,0
C88A618EFED4057D,1
A97065E18E46D534,1
7C967F79B7E99ACA,1
309D258C27A0C3D7,0
37BB3EEC4BF50B52,1
0EF8C2D6F7FD5646,1
BC594585944528C0,1
0F9AEA4B8ACD4E10,0
504867BABF7B539B,1
0CD620C20EA2622B,0
7A0ECFEA958CA9BA,0
EB5CF46780BACD64,0
87F7E1FBDA4BD9CA,0
0E8FA8E0284D82E5,1
82010C62F5F59B22,0
D9F195D014822F53,1
118A9D292F923996,1
1165E21098543881,1
DCA02EECACDABACC,0
675DD5AF3C365296,0
F10C718B1EB0E38A,0
91D63F78E3E9DE99,0
94340A033F07F814,0
0A2C827E98326856,1
14FCDD549E8FC965,0
A8499B926B5252E3,0
90B2B633956B8C0C,0
50FD9D3F85D51695,1
42C18A62EF48E8D5,1
AB73295B344A54B8,0
506E5A9AB758588D,1
43FF50113D1A85DD,1
21813D25655238A6,0
A53F8A28ABF3E3FC,0
750CAB754CCC9BC2,1
EDD4253B50F0FD0A,0
EF8C485BC07A30F2,1
02627F7312922F83,0
9F044AED75523327,0
902059E4FF9AB5C2,1
19985F15FF002D4D,0
89A2688B12C136E0,1
8181A8CC369147EB,0
21E8AC6843E42CAF,1
5958A499EEEA163E,0
119C4EA3E1805081,1
3E896C64E117DAC3,1
48F4EF125E9953D2,0
702CDD20286218B8,1
8B10550CD5704F32,1
4D71C366B41B3143,0
FBDDCF7C9C96E9EC,1
CE9E1A11FCBB4E59,1
8768A84FA76AFDE6,0
AAF915310200B1F0,1
8DFA6A56D12DBC9A,1
EE87905E4CA415EA,1
1A84A51AA9D3D7C7,1
E0CCEDC5F05DB76E,0
43B409EF2260E70F,0
E3C436571D8CBBAC,0
BE0F051B1B66B5A9,1
27CB6F2A8DA01097,1
48212DDB45B89CD9,1
35EBD32D9AD620AB,0
57C700AAB7B56EA7,0
AFFFCFD2341EF40B,1
DA587E8AA25D6B29,1
81627CF1439472E6,1
40497B717D106C60,0
E87D1C78E7C421C7,0
0D01280FD89A40C0,1
A260772317A0DF49,0
D450281C6C6F7633,1
0B49452D46D483F3,1
5563F61600E85ECE,1
217D65A0C56811CD,0
FAD409E2A319DCB4,1
295D6FBF430F801D,1
711C21C9BDC14F1F,1
B4A69F3C8D3AED99,0
8F9797B06D7CE3C9,0
1CA3C4480279B6A6,0
F1EEDBA313432E61,1
B0E6A969E21342B0,0
26286BFBE767DCEA,0
093923DE8BABCE3B,0
5E84F058D5A804EB,0
8D7248E2951F58D0,0
6E06809725E97977,1
0AB54BDE20A04502,1
5D59CD2A4EEA04E7,0
EEDEDB07E623A689,1
F8E1DAA7CBCEABDE,1
0A368CE7DC570131,1
5B9962C6E61FECC0,0
AE9BEC3635C7936C,1
AABC25FA3FE12E47,1
5A8AAECA1A50AEC3,0
8F5486B7C7B5B2BC,0
DFED2C43E256A6DC,0
F94D62046808593F,0
BFDDC3D99EE3AC2A,1
ECFEDB992790CEBD,1
3C9AD14CEE0CAEB5,1
2999B735DD56CC94,0
CCC56569F9E8A369,0
2D534DD0CF8EBC5A,0
698C206FE1A47E10,1
2DEA94930658663A,1
ECAB3301BC8F7D29,1
C84A7B28550A1B46,1
696608AAEE49F329,1
AB7F089ACD5F4822,1
BC2CBB0DDD334CC7,0
3F87E362CF8D446A,0
28C13091444D610B,0
B386F7A4C991603F,0
61EE411A1BAC27A7,0
09E9DB0ADF465290,1
787F2425DBCCC477,1
3317347038F16A81,1
EB1FA9F2D10BD1D0,0
598336E375D66ED4,1
D20EAC174E20FD1A,0
DF0F06CBCB9BC326,1
391184973A43B2BA,0
A8F7EF5A060EDF5B,1
6601DDD03170F437,1
475287AA5408F9AC,0
11C58EF0DD463C09,0
C5F8BC16F7860B50,0
59E4B6714774BC58,1
8268690BA43825B5,0
ADF4E62D6651529E,0
D7FA2D8DFB2CA025,1
54C63CD889456F27,0
0710D430F071D879,0
E08596DB1D870966,0
42DEFFCCF86C2CA2,1
94A1875D2DB69EDB,1
FBC9F87AF668A617,1
09CB394243F59A85,0
98B8E4CC1BC044FC,1
587EF3446F3F920C,1
C9535B63BA81EDD9,1
6FB78271504D281F,1
FBF6E16F9B3080D5,1
1D9AF65982EC9F2D,0
E645F129629C2AE3,0
30A900AD939B462D,0
0B5CEA6A41357E8C,0
6FA17735B572F3D0,0
85197FF4006ED6E3,0
CE777F00ECF27E76,0
AFD5DEA589D7FD6C,0
F0B5156BB82C9074,1
BCAE8081BDF070AA,1
3270E4FAABAE4F43,1
6E6981A35D3D9E56,1
F2E9702D11E9CDAA,1
EBB7A385AA0B7B14,0
9F871CE75487FD4F,0
A9D3C2E6505CC686,0
1FE771D6D9178793,1
E6697833B841D0A0,0
81D2C7DE4CE1EB90,0
AAB97E494F2D4796,1
5380B904688C7015,1
B27C40266703B636,0
8DEDF9FB4BB00F20,1
311C6EB62095EEF6,1
AA38D0A16BA25EFE,0
610FAA3FF0BBAC67,0
BF85BF0EAD64B56C,0
2C8D0E44E71E43A6,1
91B0E1D99D9262AF,1
67F48AD54D0B0D1A,0
D56F03508C459CE2,1
4DCABFB7001A9A8B,0
35CE884149732D6C,1
C9277D9B6E0D2648,1
9B4E2C249479E1E6,0
527EECFAA79AC9AA,1
7118E36477097749,0
ACF5E81E71316269,1
82DC4C8E36B5229A,0
CB323E357922BAC2,1
F5B78CC7E6B3C944,1
BC67F831CBC84759,0
A8AA71582B70E525,1
48A639D015B52908,1
A9F2533683F4A9A9,0
9E87E04CA2086977,1
17E8392A55CEE5DB,1
F3B63FE1D1843324,1
3C20592FC04A96C4,1
4F77A665AC3C5640,0
CE7AE7F639820CFF,1
25B8FD4B32FA2DE8,0
0BD4A9900640BE0F,1
FBE33B243EAE0032,0
9C7C737779A28903,1
C4BBB7A9D98868DD,1
7496276412A4DEF0,1
E2D9DE5D6A18CE4C,0
935F2B0AA1384DDC,0
B7E5848131C681EC,0
624C69B6B24445A7,1
664FA6637E8F8095,1
25C73C443E75C3B4,1
B00805CCA7F36AE9,0
E4855AA1016B6287,0
DC45D539C03F3538,1
E2ADD909C521BF2D,1
C7468F591B494E15,1
3805F9076CD66193,0
CDDA24BA2D06E8CF,0
B227462CF53D4330,0
76ECBDD68498E113,0
8EB225790CDB1CA4,0
EADF50853FCB7546,0
1F115B76D92C9227,1
222282E174DAAEBF,0
76F2DBFECD29A36F,1
87F8424DAAE65FC1,0
8F15BA58FCE68504,1
513A7052986F9025,0
C1581092F335CBA3,1
714C7DF4E4347D51,0
D0A444329CD6C852,1
E45B712EB8225688,1
6D3EE1DC81392443,1
E827A1B9D4A02E53,0
722764E68C41561B,0
28BE9288E5AF6E39,1
DC8AEE30BE6033F7,1
7337C59979844388,0
C074718E425A609F,1
D701410D3F4B1A70,0
46FDE062A33DC7AF,0
C715B2B9C40C5D91,1
7C0E8CD88573E793,0
3D3F3799A07295E9,0
709B7D97464C04AF,0
B6AAE05B13D5F2F7,1
3C07C57449257AF1,1
55FA1AB8458F1F19,1
E49D681D51D87C64,1
14A0BCCB8A476A87,1
269CD696236C7B87,0
620E99D33B33F3D8,1
271E3EE2B1A6B1F1,1
36C59DACB4D7E28E,1
6A34C85410714D51,0
54B4A48268586EBA,1
7746D0BA8AE8905B,0
0FF0A55C6A702E2F,0
D5385B0E34F3193C,0
63B4C08B6B8E869F,1
C51155FFE7A37E81,1
F2311F1795863A76,0
05000BC6B20DCB6E,0
E172B725DB52CA58,0
9360715FC3FE0183,1
7A1B58066160A6B4,0
F1578470018267C4,1
4C71E0FE5A0CDD7C,0
63D62A39C0E3BEFD,1
E4429EBBDA7B9095,0
D5F25073F41402B1,1
89C8D2AB6B44FA8D,0
BC10FA52BF5D2FDF,0
CCC429038BCF53A1,0
E5D6F6E69A6EC2F5,1
7CFC9B793875394C,0
45DF16B6382C043F,0
7C5308BF6F92F25E,1
638C254C076E2BBA,1
AB3B4D37560C95EE,0
CC530E36ADDC3E13,1
B963F37F67814C1F,1
D72B61082A405F12,0
EB67146A77A6E17C,1
FB10987F20AC3703,0
88BC539C9F4C3B79,1
E82C7D7B06E745F9,0
978648F864DE82E6,1
A9BA5A27907BFE36,1
157D94A106F028FF,1
6DB99102A48B3DBE,1
DDE9F86322BD3388,0
2E85CB217631DE9D,1
42999AA40CDF742B,1
53CD6268610CF373,0
74672CD9362F5E5C,1
56666F9F53AC2AB9,0
E1301617C2DFF335,1
473BD358610E6A64,1
F3821CFDC083B73A,1
6BEBAC31D4F8FD72,0
D5BCB8D04094DDED,0
7866076514F7CE8D,0
BFC00DC804F64D86,1
0D557B618A175DFE,1
F3B1025BFFF9F585,0
39669FA759970043,0
1190F938A66FD7F7,1
F510AB53C7FEE39F,0
0A4E5B70A6D964A3,0
07F194F9C1156D6D,1
3F4DF561F319C125,1
D6D7B3B833094D35,1
9F0FDA8D05379FF6,0
3D1148022702878B,1
793B4C3220500494,0
1D48A071AB61A7B1,1
F2A0345990604F62,1
770C779837CC863B,0
41992FDFB31022F0,0
5E6FEA07C4536F1D,0
9B1BC8952AF43AB7,1
F6B751F79B749245,0
B7E6427CBF780E3F,0
C71D5E601D5206AB,0
29EC8E49D1BDB8C0,0
4FA03F26F6F7F0CC,0
9424AED51BAC5C15,0
EDCB8CB60692DC63,1
93676A024FDC6E1B,0
E87466D7AD66A1BD,1
60141DE9F54AD0A2,0
F1043785658B2523,1
32C5BD89B70B3420,1
9793B9B413748146,1
D4A057A7B0CC1B3B,1
3E2B6091A092F52A,0
B27B3D901A16342C,0
4D3485C5C5C14EB4,1
AF2B99B4D9ACD158,0
CE3714AF99B49350,0
CBD58BF61EFD76E9,0
90E0F4A0FBDD3933,0
0A8381BEC85ACA46,0
8861FE1858E25888,0
A95976636DAA2E68,1
11A726095EDDBBBF,1
A5C5650C8186A576,1
033D2BCE575AED2C,1
6B88F83DD97DC9CD,0
7D7DDBEDD284476C,1
6EFB63B11B049863,0
5CB85AEDF5F62C97,1
E43E4288A2B5B498,1
75B17A55D4262982,1
272A6D8EB5122DF8,0
2D174FC96F7C15EA,1
859131D2BBDA0242,1
A6846099F7294951,1
9DAC6E8345241EA6,1
EB6C1016CEE624D0,0
C64EE6E389C5B31A,0
7701F7BB7BC67E1F,0
D36357B66F81CF4F,0
97AC6AA8BB2488A3,1
52828D8044B591F7,1
3ED8C56CDA09DFA0,0
EF43613CD4AAC9A3,1
4767D76C162F8A24,0
7367C28DE1B294DE,1
C01F36BF3E6DD58B,1
91E1AA9676F72255,1
AB0E664E9C3EB2D5,0
561E16D16105716B,1
7E8ADEE70758E201,0
533420E6D9D80B8D,1
7CD0129D2E8D0E87,1
5AD5CF06364D7C87,1
4223623BCC3EBDDE,1
4797B2C957207246,0
989D9D4AE15CA666,1
E14EB70DB380C73A,1
8E48522346B98991,1
8441AEFD0299436A,0
30E912F2F2B43ABF,0
3DC9829015EABB27,0
680BAC63B856D035,1
8E2007247D137018,0
3D85DE89C2171429,0
79E13CEAB0CBC61F,0
B63B4DC3A559E463,1
72BB912D7DA67785,0
046A0DF5CAFDA613,1
4B5305E517D2582E,1
6786D50638BA8ABC,1
3E493F43B118F68D,0
A9F948B24E6384BB,0
5E781FD794E0D3BA,0
8DB0674679279973,0
58007C0287EA7FF5,1
FF233D5F6CEDD15D,0
8CE6424DBEF59FE6,0
5A10412954AEBD1B,0
7428A656B3EE4D3B,1
4E7ED827455AC762,1
3B048A8B405BFDC9,1
B8A6171F1EE34DC4,0
50C7C006314D3441,0
BE2D740A1E9B23BC,1
F36CB62B892E6161,0
B0AE8F08C31EDBBC,0
3108D4482F65FAFA,0
BD1531C83764FBDA,1
46C8ADFE7BF47042,0
96EF2AD6B97E6703,0
C29CFC0CFA02EAEC,1
98C7472A864E9A13,1
FB02BEBB48729A4D,1
D52721E719BC143E,0
4BD6CEE631B1B099,1
5C62B3A23A3C563E,1
4D6168BD2DEFE193,1
B540B30E039F3A25,1
2067BDAC88BD13D1,0
0BA6EAB94639447B,1
0DF56AC6F96B648A,1
4AC9778D8DA8EEE4,1
F1AFDB65B289F224,1
A34B6CF62053DA42,0
C0B6FCE2DE53790A,0
1A432F0A7DAA39F0,0
0323D342DF6A8F93,1
48CA765192F5DF7B,1
7A8D03AA782A65E0,1
5738811D70C2903F,1
F72ADA9B2F32751E,0
40A26C600D270659,0
DC99E04CF0E98B3B,1
1D34D08E7A4C75D4,0
10BA58E3D2762BDC,0
7DE31A516694C343,1
93B7A88612F70C97,1
AFBB411AA1235A8C,0
26D794D30DB95301,0
CFA701CD2631D00B,1
F2F9E5FA90164161,1
15CE6A664DC82A1E,0
3F897142FE716B14,1
8EDDDFCD1E52D770,0
6A8A616FC3B290D0,0
